"DeclarableId","ULOC","CC","COCO","PC","LLOC"
"com.airbnb.lottie.animation.content.RepeaterContent://absorbContent$[58:19,86:2]",14,5,4,1,0
"com.airbnb.lottie.animation.content.RepeaterContent://getName$[88:19,90:2]",3,1,0,0,0
"com.airbnb.lottie.animation.content.RepeaterContent://setContents$[92:19,94:2]",3,1,0,2,0
"com.airbnb.lottie.animation.content.RepeaterContent://getPath$[96:19,106:2]",11,2,1,0,0
"com.airbnb.lottie.animation.content.RepeaterContent://draw$[108:19,121:2]",12,2,1,3,0
"com.airbnb.lottie.animation.content.RepeaterContent://getBounds$[123:19,125:2]",3,1,0,3,0
"com.airbnb.lottie.animation.content.RepeaterContent://onValueChanged$[127:19,129:2]",3,1,0,0,0
"com.airbnb.lottie.animation.content.RepeaterContent://resolveKeyPath$[131:19,140:2]",10,3,3,4,0
"com.airbnb.lottie.animation.content.RepeaterContent://addValueCallback$[144:13,154:2]",10,4,3,2,0
"com.airbnb.lottie.animation.content.TrimPathContent://TrimPathContent.constructor$[20:9,35:2]",14,1,0,2,0
"com.airbnb.lottie.animation.content.TrimPathContent://onValueChanged$[37:19,41:2]",5,2,1,0,0
"com.airbnb.lottie.animation.content.TrimPathContent://setContents$[43:19,45:2]",2,1,0,2,0
"com.airbnb.lottie.animation.content.TrimPathContent://getName$[47:19,49:2]",3,1,0,0,0
"com.airbnb.lottie.animation.content.TrimPathContent://addListener$[51:2,53:2]",3,1,0,1,0
"com.airbnb.lottie.animation.content.TrimPathContent://getType$[55:2,57:2]",3,1,0,0,0
"com.airbnb.lottie.animation.content.TrimPathContent://getStart$[59:9,61:2]",3,1,0,0,0
"com.airbnb.lottie.animation.content.TrimPathContent://getEnd$[63:9,65:2]",3,1,0,0,0
"com.airbnb.lottie.animation.content.TrimPathContent://getOffset$[67:9,69:2]",3,1,0,0,0
"com.airbnb.lottie.animation.content.TrimPathContent://isHidden$[71:9,73:2]",3,1,0,0,0
