"DeclarableId","ULOC","CC","COCO","PC","LLOC"
"org.mockito.mock.MockCreationSettings://getStubbingLookupListeners$[80:4,80:61]",1,1,0,0,0
"org.mockito.mock.MockCreationSettings://getInvocationListeners$[85:4,85:53]",1,1,0,0,0
"org.mockito.mock.MockCreationSettings://getVerificationStartedListeners$[93:4,93:71]",1,1,0,0,0
"org.mockito.mock.MockCreationSettings://isUsingConstructor$[100:4,100:32]",1,1,0,0,0
"org.mockito.mock.MockCreationSettings://getConstructorArgs$[111:4,111:33]",1,1,0,0,0
"org.mockito.mock.MockCreationSettings://getOuterClassInstance$[119:4,119:34]",1,1,0,0,0
"org.mockito.mock.MockCreationSettings://isLenient$[130:4,130:23]",1,1,0,0,0
"org.mockito.mock.MockCreationSettings://getStrictness$[138:4,138:30]",1,1,0,0,0
"org.mockito.mock.MockCreationSettings://getMockMaker$[147:4,147:25]",1,1,0,0,0
"org.mockito.internal.session.DefaultMockitoSessionBuilder://initMocks$[28:11,33:4]",6,2,1,1,0
"org.mockito.internal.session.DefaultMockitoSessionBuilder://initMocks$[36:11,43:4]",8,3,3,1,0
"org.mockito.internal.session.DefaultMockitoSessionBuilder://name$[46:11,49:4]",4,1,0,1,0
"org.mockito.internal.session.DefaultMockitoSessionBuilder://strictness$[52:11,55:4]",4,1,0,1,0
"org.mockito.internal.session.DefaultMockitoSessionBuilder://logger$[58:11,61:4]",4,1,0,1,0
"org.mockito.internal.session.DefaultMockitoSessionBuilder://startMocking$[64:11,85:4]",17,7,8,0,0
"org.mockito.internal.stubbing.InvocationContainerImpl://InvocationContainerImpl.constructor$[38:11,42:4]",5,1,0,1,0
"org.mockito.internal.stubbing.InvocationContainerImpl://setInvocationForPotentialStubbing$[44:11,47:4]",4,1,0,1,0
"org.mockito.internal.stubbing.InvocationContainerImpl://resetInvocationForPotentialStubbing$[49:11,51:4]",3,1,0,1,0
"org.mockito.internal.stubbing.InvocationContainerImpl://addAnswer$[53:11,56:4]",4,1,0,2,0
"org.mockito.internal.stubbing.InvocationContainerImpl://addAnswer$[59:11,79:4]",19,5,5,3,0
"org.mockito.internal.stubbing.InvocationContainerImpl://addConsecutiveAnswer$[81:11,83:4]",3,1,0,1,0
"org.mockito.internal.stubbing.InvocationContainerImpl://answerTo$[85:4,87:4]",3,1,0,1,0
"org.mockito.internal.stubbing.InvocationContainerImpl://findAnswerFor$[89:11,103:4]",12,3,3,1,0
"org.mockito.internal.stubbing.InvocationContainerImpl://setAnswersForStubbing$[108:11,110:4]",3,1,0,2,0
"org.mockito.internal.stubbing.InvocationContainerImpl://hasAnswersForStubbing$[112:11,114:4]",3,1,0,0,0
"org.mockito.internal.stubbing.InvocationContainerImpl://hasInvocationForPotentialStubbing$[116:11,118:4]",3,1,0,0,0
"org.mockito.internal.stubbing.InvocationContainerImpl://setMethodForStubbing$[120:11,130:4]",11,2,1,1,0
"org.mockito.internal.stubbing.InvocationContainerImpl://toString$[133:11,135:4]",3,1,0,0,0
"org.mockito.internal.stubbing.InvocationContainerImpl://getInvocations$[137:11,139:4]",3,1,0,0,0
"org.mockito.internal.stubbing.InvocationContainerImpl://clearInvocations$[141:11,143:4]",3,1,0,0,0
"org.mockito.internal.stubbing.InvocationContainerImpl://getStubbingsAscending$[148:11,155:4]",7,1,0,0,0
"org.mockito.internal.stubbing.InvocationContainerImpl://invokedMock$[157:11,159:4]",3,1,0,0,0
"org.mockito.internal.stubbing.InvocationContainerImpl://createRegisteredInvocations$[161:12,166:4]",6,2,1,1,0
"org.mockito.internal.stubbing.InvocationContainerImpl://findStubbedAnswer$[168:11,177:4]",10,3,3,0,0
"org.mockito.internal.verification.SingleRegisteredInvocation://add$[18:11,20:4]",3,1,0,1,0
"org.mockito.internal.verification.SingleRegisteredInvocation://removeLast$[23:11,25:4]",3,1,0,0,0
"org.mockito.internal.verification.SingleRegisteredInvocation://getAll$[28:11,30:4]",3,1,0,0,0
"org.mockito.internal.verification.SingleRegisteredInvocation://clear$[33:11,35:4]",3,1,0,0,0
"org.mockito.internal.verification.SingleRegisteredInvocation://isEmpty$[38:11,40:4]",3,1,0,0,0
"org.mockito.internal.stubbing.defaultanswers.TriesToReturnSelf://answer$[18:11,28:4]",9,3,2,1,0
"org.mockito.internal.invocation.SerializableMethod://SerializableMethod.constructor$[29:11,38:4]",10,1,0,1,0
"org.mockito.internal.invocation.SerializableMethod://getName$[41:11,43:4]",3,1,0,0,0
"org.mockito.internal.invocation.SerializableMethod://getReturnType$[46:11,48:4]",3,1,0,0,0
"org.mockito.internal.invocation.SerializableMethod://getParameterTypes$[51:11,53:4]",3,1,0,0,0
"org.mockito.internal.invocation.SerializableMethod://getExceptionTypes$[56:11,58:4]",3,1,0,0,0
"org.mockito.internal.invocation.SerializableMethod://isVarArgs$[61:11,63:4]",3,1,0,0,0
"org.mockito.internal.invocation.SerializableMethod://isAbstract$[66:11,68:4]",3,1,0,0,0
"org.mockito.internal.invocation.SerializableMethod://getJavaMethod$[71:11,93:4]",21,4,3,0,0
"org.mockito.internal.invocation.SerializableMethod://hashCode$[96:11,98:4]",3,1,0,0,0
"org.mockito.internal.invocation.SerializableMethod://equals$[101:11,137:4]",37,14,16,1,0
"org.mockito.stubbing.Answer2://answer$[42:4,42:57]",1,1,0,2,0
"org.mockito.internal.junit.UnusedStubbingsFinder://getUnusedStubbings$[28:11,33:4]",6,1,0,1,0
"org.mockito.internal.junit.UnusedStubbingsFinder://getUnusedStubbingsByLocation$[45:11,72:4]",18,5,6,1,0
"org.mockito.internal.junit.VerificationCollectorImpl://VerificationCollectorImpl.constructor$[26:11,28:4]",3,1,0,0,0
"org.mockito.internal.junit.VerificationCollectorImpl://apply$[31:11,49:4]",4,1,0,2,0
"org.mockito.internal.junit.VerificationCollectorImpl://collectAndReport$[51:11,62:4]",9,2,1,0,0
"org.mockito.internal.junit.VerificationCollectorImpl://assertLazily$[65:11,75:4]",6,1,0,0,0
"org.mockito.internal.junit.VerificationCollectorImpl://resetBuilder$[77:12,80:4]",4,1,0,0,0
"org.mockito.internal.junit.VerificationCollectorImpl://append$[82:12,90:4]",9,1,0,1,0
"org.mockito.ArgumentMatchers://any$[138:22,141:4]",4,1,0,0,0
"org.mockito.ArgumentMatchers://any$[176:22,179:4]",4,1,0,1,0
"org.mockito.ArgumentMatchers://isA$[191:22,194:4]",4,1,0,1,0
"org.mockito.ArgumentMatchers://anyBoolean$[213:18,216:4]",4,1,0,0,0
"org.mockito.ArgumentMatchers://anyByte$[235:18,238:4]",4,1,0,0,0
"org.mockito.ArgumentMatchers://anyChar$[257:18,260:4]",4,1,0,0,0
"org.mockito.ArgumentMatchers://anyInt$[279:18,282:4]",4,1,0,0,0
"org.mockito.ArgumentMatchers://anyLong$[301:18,304:4]",4,1,0,0,0
"org.mockito.ArgumentMatchers://anyFloat$[323:18,326:4]",4,1,0,0,0
"org.mockito.ArgumentMatchers://anyDouble$[345:18,348:4]",4,1,0,0,0
"org.mockito.ArgumentMatchers://anyShort$[367:18,370:4]",4,1,0,0,0
"org.mockito.ArgumentMatchers://anyString$[389:18,392:4]",4,1,0,0,0
"org.mockito.ArgumentMatchers://anyList$[411:22,414:4]",4,1,0,0,0
"org.mockito.ArgumentMatchers://anySet$[433:22,436:4]",4,1,0,0,0
"org.mockito.ArgumentMatchers://anyMap$[455:25,458:4]",4,1,0,0,0
"org.mockito.ArgumentMatchers://anyCollection$[477:22,480:4]",4,1,0,0,0
"org.mockito.ArgumentMatchers://anyIterable$[500:22,503:4]",4,1,0,0,0
"org.mockito.ArgumentMatchers://eq$[515:18,518:4]",4,1,0,1,0
"org.mockito.ArgumentMatchers://eq$[530:18,533:4]",4,1,0,1,0
"org.mockito.ArgumentMatchers://eq$[545:18,548:4]",4,1,0,1,0
"org.mockito.ArgumentMatchers://eq$[560:18,563:4]",4,1,0,1,0
"org.mockito.ArgumentMatchers://eq$[575:18,578:4]",4,1,0,1,0
