"DeclarableId","MLOC","WMC","CWMC","DIT","NOC","CBO","RFC","LCOM","NOU","LC"
"org.mockito.internal.invocation.SerializableMethod",102,26,19,0,0,35,13,2,10,0
"org.mockito.stubbing.Answer2",3,1,0,0,0,0,1,1,1,0
"org.mockito.internal.junit.UnusedStubbingsFinder",26,6,6,0,0,24,18,1,2,0
"org.mockito.internal.junit.VerificationCollectorImpl",68,7,1,0,0,36,16,1,6,0
"org.mockito.ArgumentMatchers",203,52,2,0,1,47,55,7,50,0
"org.mockito.junit.MockitoJUnitRunner",33,5,0,1,0,15,3,1,5,0
"org.mockito.internal.runners.StrictRunner",30,6,2,0,0,15,10,1,4,0
"org.mockito.internal.exceptions.stacktrace.StackTraceFilter",71,19,28,0,0,24,10,1,4,0
"org.mockito.internal.matchers.EqualsWithDelta",21,6,3,0,0,9,4,1,3,0
"org.mockito.MockitoSession",5,3,0,0,0,0,2,2,3,0
"org.mockito.internal.junit.UnnecessaryStubbingsReporter",19,3,1,0,0,9,10,1,2,0
"org.mockito.internal.creation.proxy.ProxyMockMaker",127,19,16,0,0,49,19,3,5,0
"org.mockito.internal.junit.JUnitRule",18,4,0,0,0,8,8,1,4,0
"org.mockito.exceptions.verification.junit.ArgumentsAreDifferent",21,4,0,1,0,5,4,2,4,0
"org.mockito.internal.stubbing.answers.ThrowsExceptionForClassType",10,2,0,1,0,4,4,1,2,0
"org.mockito.internal.matchers.StartsWith",12,4,1,0,0,2,3,1,3,0
"org.mockito.internal.progress.ArgumentMatcherStorageImpl",58,14,4,0,0,14,25,1,10,0
"org.mockito.internal.util.Supplier",3,1,0,0,0,0,1,1,1,0
"org.mockito.internal.creation.instance.DefaultInstantiatorProvider",11,4,3,0,0,5,4,1,1,0
"org.mockito.internal.configuration.plugins.PluginFinder",51,11,14,0,0,19,10,1,3,0
"org.mockito.internal.configuration.plugins.PluginFileReader",18,5,4,0,0,8,7,1,2,0
"org.mockito.internal.configuration.injection.ConstructorInjection",39,4,3,1,0,14,7,2,2,0
"org.mockito.MockitoFramework",8,6,0,0,0,0,6,6,6,0
"org.mockito.internal.creation.bytebuddy.MockAccess",4,2,0,0,0,0,2,2,2,0
"org.mockito.invocation.InvocationFactory",11,1,0,0,0,0,1,1,1,0
"org.mockito.internal.invocation.ArgumentMatcherAction",3,1,0,0,0,0,1,1,1,0
"org.mockito.listeners.StubbingLookupEvent",6,4,0,0,0,0,4,4,4,0
"org.mockito.internal.exceptions.Reporter",1013,120,33,0,0,289,155,8,89,0
"org.mockito.internal.util.collections.IdentitySet",14,4,3,0,0,2,2,1,2,0
"org.mockito.internal.handler.MockHandlerFactory",8,2,0,0,0,3,4,2,2,0
"org.mockito.exceptions.misusing.CannotVerifyStubOnlyMock",5,1,0,1,0,0,0,1,1,0
"org.mockito.plugins.AnnotationEngine",6,1,0,0,0,0,1,1,1,0
"org.mockito.internal.util.io.IOUtil",42,11,7,0,0,17,13,2,5,0
"org.mockito.junit.MockitoTestRule",4,2,0,1,0,0,2,2,2,0
"org.mockito.exceptions.verification.ArgumentsAreDifferent",12,3,0,1,0,0,2,2,3,0
"org.mockito.internal.junit.UniversalTestListener",60,16,5,0,0,29,22,1,8,0
"org.mockito.internal.verification.VerificationWrapper",35,10,0,0,2,9,9,1,10,0
"org.mockito.plugins.DoNotMockEnforcer",3,1,0,0,0,0,1,1,1,0
"org.mockito.internal.verification.api.InOrderContext",4,2,0,0,0,0,2,2,2,0
"org.mockito.listeners.MethodInvocationReport",7,5,0,0,0,0,5,5,5,0
"org.mockito.internal.matchers.LocalizedMatcher",14,3,0,0,0,3,2,1,3,0
"org.mockito.internal.verification.api.VerificationDataInOrder",5,3,0,0,0,0,3,3,3,0
"org.mockito.internal.junit.StubbingArgMismatches",29,7,4,0,0,16,14,1,4,1
"org.mockito.internal.creation.bytebuddy.BytecodeGenerator",17,7,2,0,0,6,11,5,5,0
"org.mockito.stubbing.Answer3",3,1,0,0,0,0,1,1,1,0
"org.mockito.plugins.InstantiatorProvider2",3,1,0,0,0,0,1,1,1,0
"org.mockito.mock.SerializableMode",5,0,0,0,0,8,0,0,0,0
"org.mockito.MockitoAnnotations",24,5,2,0,0,10,9,2,3,0
"org.mockito.internal.listeners.StubbingLookupNotifier",46,4,2,0,0,8,5,2,2,0
"org.mockito.internal.configuration.injection.MockInjection",45,3,0,0,0,20,3,2,3,0
"org.mockito.internal.handler.NullResultGuardian",20,6,2,0,0,7,7,1,4,0
"org.mockito.internal.matchers.Null",16,4,0,0,0,4,3,3,4,0
"org.mockito.internal.configuration.GlobalConfiguration",37,11,3,0,0,19,13,3,8,0
"org.mockito.hamcrest.MockitoHamcrest",52,14,0,0,0,4,13,2,14,0
"org.mockito.internal.invocation.InvocationMatcher",89,26,11,0,1,34,27,3,14,0
"org.mockito.internal.util.collections.Iterables",18,5,2,0,0,10,10,3,3,0
"org.mockito.internal.invocation.mockref.MockStrongReference",18,5,2,0,0,3,3,1,3,0
"org.mockito.internal.handler.MockHandlerImpl",69,10,7,0,0,32,26,1,4,0
"org.mockito.exceptions.misusing.MockitoConfigurationException",9,2,0,1,0,0,0,1,2,0
"org.mockito.stubbing.VoidAnswer5",4,1,0,0,0,0,1,1,1,0
"org.mockito.exceptions.misusing.NullInsteadOfMockException",6,1,0,1,0,0,0,1,1,0
"org.mockito.stubbing.BaseStubber",11,8,0,0,2,0,5,5,8,0
"org.mockito.internal.util.reflection.BeanPropertySetter",66,9,4,0,0,24,17,2,5,0
"org.mockito.internal.configuration.plugins.DefaultPluginSwitch",5,1,0,0,0,0,1,1,1,0
"org.mockito.internal.util.Timer",23,6,1,0,0,4,6,1,5,0
"org.mockito.internal.stubbing.defaultanswers.ForwardsInvocations",38,10,6,0,0,19,18,2,4,0
"org.mockito.exceptions.verification.opentest4j.ArgumentsAreDifferent",21,4,0,1,0,0,4,2,4,0
"org.mockito.internal.verification.checkers.NumberOfInvocationsChecker",60,12,9,0,0,9,17,2,4,0
"org.mockito.plugins.MemberAccessor",21,5,0,0,0,1,4,4,5,1
"org.mockito.stubbing.Stubbing",5,3,0,1,0,0,3,3,3,0
"org.mockito.internal.util.reflection.FieldReader",20,4,1,0,0,6,4,1,3,0
"org.mockito.internal.debugging.LoggingListener",61,15,7,0,0,38,15,3,7,0
"org.mockito.internal.invocation.DefaultInvocationFactory",59,8,2,0,0,9,11,1,6,0
"org.mockito.internal.matchers.InstanceOf",22,7,2,0,0,7,6,1,5,0
"org.mockito.listeners.VerificationStartedEvent",4,2,0,0,0,0,2,2,2,0
"org.mockito.internal.configuration.injection.scanner.InjectMocksScanner",29,8,6,0,0,9,11,1,4,0
"org.mockito.internal.util.collections.Sets",15,4,1,0,0,4,6,1,3,0
"org.mockito.internal.matchers.CompareEqual",11,3,0,1,0,0,2,3,3,0
"org.mockito.internal.creation.bytebuddy.ByteBuddyCrossClassLoaderSerializationSupport",162,6,2,0,0,55,16,2,4,0
"org.mockito.Answers",15,2,0,0,0,8,1,1,2,0
"org.mockito.internal.configuration.plugins.DefaultMockitoPlugins",78,7,2,0,0,41,11,1,5,0
"org.mockito.invocation.InvocationContainer",0,0,0,0,0,0,0,0,0,0
"org.mockito.internal.configuration.injection.filter.NameBasedCandidateFilter",49,14,10,0,0,20,14,1,5,0
"org.mockito.internal.MockitoCore",242,54,42,0,0,79,87,6,23,1
"org.mockito.internal.matchers.Any",12,3,0,0,0,2,3,3,3,0
