"DeclarableId","MLOC","WMC","CWMC","DIT","NOC","CBO","RFC","LCOM","NOU","LC"
"org.antlr.v4.automata.RangeBorderCharactersData",43,16,14,0,0,23,12,1,3,0
"org.antlr.v4.codegen.target.SwiftTarget",47,8,0,1,0,6,7,7,8,0
"org.antlr.v4.tool.ast.RuleRefAST",15,6,0,3,0,7,4,1,6,0
"org.antlr.v4.codegen.CodeGeneratorExtension",25,20,0,0,0,1,19,9,20,0
"org.antlr.v4.tool.ast.GrammarRootAST",55,16,7,3,0,22,9,2,9,0
"org.antlr.v4.codegen.model.MatchToken",22,3,0,3,2,14,1,2,3,0
"org.antlr.v4.automata.LexerATNFactory",635,162,179,1,0,502,100,1,33,0
"org.antlr.v4.gui.TreeTextProvider",3,1,0,0,0,0,1,1,1,0
"org.antlr.v4.gui.PostScriptDocument",137,25,5,0,0,78,25,1,20,0
"org.antlr.v4.semantics.RuleCollector",93,23,19,1,0,78,23,1,8,0
"org.antlr.v4.tool.ast.OptionalBlockAST",16,5,0,2,0,5,4,1,5,0
"org.antlr.v4.codegen.target.JavaTarget",26,4,0,1,0,3,3,4,4,0
"org.antlr.v4.codegen.model.decl.AltLabelStructDecl",30,8,4,4,0,24,8,1,4,0
"org.antlr.v4.codegen.model.AltBlock",9,1,0,4,1,1,0,1,1,0
"org.antlr.v4.codegen.UnicodeEscapes",36,8,6,0,0,3,4,1,2,0
"org.antlr.v4.parse.ToolANTLRLexer",14,3,0,0,0,7,5,1,3,0
"org.antlr.v4.unicode.UnicodeDataTemplateController",355,39,33,0,0,239,35,1,18,0
"org.antlr.v4.codegen.model.CaptureNextToken",7,1,0,2,0,1,0,1,1,0
"org.antlr.v4.codegen.OutputModelController",327,92,56,0,0,242,88,2,45,0
"org.antlr.v4.misc.OrderedHashMap",22,7,1,1,0,12,10,1,6,0
"org.antlr.v4.gui.Trees",77,19,8,0,0,38,21,2,12,0
"org.antlr.v4.codegen.model.ThrowNoViableAlt",7,1,0,3,0,0,0,1,1,0
"org.antlr.v4.codegen.model.chunk.ThisRulePropertyRef_start",5,1,0,3,0,0,0,1,1,0
"org.antlr.v4.codegen.model.chunk.ThisRulePropertyRef_ctx",5,1,0,3,0,0,0,1,1,0
"org.antlr.v4.tool.ast.NotAST",10,4,0,2,0,2,3,1,4,0
"org.antlr.v4.tool.ANTLRMessage",67,14,7,0,4,23,10,1,8,0
"org.antlr.v4.tool.GrammarSyntaxMessage",19,3,1,1,0,6,1,2,2,0
"org.antlr.v4.tool.ErrorType",150,1,0,0,0,163,0,1,1,0
"org.antlr.v4.misc.EscapeSequenceParsing",143,26,39,0,0,74,12,1,2,0
"org.antlr.v4.tool.ast.RangeAST",10,4,0,2,0,2,3,1,4,0
"org.antlr.v4.semantics.SymbolChecks",342,116,180,0,0,330,53,1,19,0
"org.antlr.v4.misc.CharSupport",154,64,102,0,0,72,25,1,9,0
"org.antlr.v4.codegen.model.chunk.TokenPropertyRef_text",5,1,0,3,0,0,0,1,1,0
"org.antlr.v4.semantics.AttributeChecks",168,51,51,0,0,175,34,7,15,0
"org.antlr.v4.codegen.model.LL1Loop",24,5,2,4,2,5,6,7,3,0
"org.antlr.v4.codegen.model.TestSetInline",53,10,10,2,0,24,10,1,2,0
"org.antlr.v4.codegen.model.chunk.QRetValueRef",7,1,0,4,0,1,0,1,1,0
"org.antlr.v4.codegen.model.ListenerFile",36,7,9,2,1,33,0,1,1,1
"org.antlr.v4.parse.GrammarASTAdaptor",29,10,4,1,0,14,9,1,6,0
"org.antlr.v4.codegen.model.SerializedJavaATN",25,5,3,2,0,15,2,1,3,0
"org.antlr.v4.tool.GrammarParserInterpreter",197,32,41,1,0,138,53,1,9,0
"org.antlr.v4.codegen.model.chunk.RulePropertyRef_stop",5,1,0,3,0,0,0,1,1,0
"org.antlr.v4.codegen.model.chunk.RulePropertyRef_text",5,1,0,3,0,0,0,1,1,0
