"DeclarableId","MLOC","WMC","CWMC","DIT","NOC","CBO","RFC","LCOM","NOU","LC"
"org.elasticsearch.search.aggregations.pipeline.InternalBucketMetricValue",70,27,15,0,0,47,28,3,12,0
"org.elasticsearch.index.fielddata.fieldcomparator.FloatValuesComparatorSource",70,10,6,0,0,26,22,2,5,0
"org.elasticsearch.cluster.service.MasterService",919,66,42,1,0,421,131,5,32,17
"org.elasticsearch.index.fielddata.DocValueBits",3,1,0,0,0,0,1,5,1,0
"org.elasticsearch.common.inject.Initializables",12,1,0,0,0,7,3,1,1,0
"org.elasticsearch.index.mapper.MappedFieldType",339,70,19,0,4,80,71,1,51,0
"org.elasticsearch.search.aggregations.bucket.terms.ParsedTerms",95,9,4,0,3,61,15,1,6,2
"org.elasticsearch.common.bytes.AbstractBytesReference",143,42,48,0,3,76,29,1,15,1
"org.elasticsearch.cluster.metadata.ClusterNameExpressionResolver",37,4,3,0,0,16,6,1,1,1
"org.elasticsearch.upgrades.SystemIndexMigrationTaskState",81,17,3,0,0,41,18,2,13,2
"org.elasticsearch.common.util.SetBackedScalingCuckooFilter",222,63,55,0,0,153,48,1,20,2
"org.elasticsearch.rest.action.RestStatusToXContentListener",25,5,3,0,0,10,8,1,3,1
"org.elasticsearch.action.admin.indices.flush.TransportFlushAction",32,3,0,0,0,6,4,3,3,0
"org.elasticsearch.http.HttpTransportSettings",180,1,0,0,0,149,0,1,1,3
"org.elasticsearch.search.suggest.phrase.CandidateScorer",119,19,19,0,0,60,16,1,5,0
"org.elasticsearch.search.aggregations.bucket.range.DateRangeAggregatorFactory",28,1,0,0,0,1,0,1,1,0
"org.elasticsearch.index.analysis.TokenizerFactory",14,3,0,0,0,5,5,3,3,0
"org.elasticsearch.action.delete.DeleteRequest",134,36,9,0,0,62,34,4,27,0
"org.elasticsearch.cluster.coordination.Publication",318,37,24,0,0,148,46,4,20,9
"org.elasticsearch.lucene.search.vectorhighlight.CustomFieldQuery",85,28,36,1,0,48,18,1,4,0
"org.elasticsearch.search.aggregations.AggregatorBase",140,34,13,2,3,49,38,1,23,0
"org.elasticsearch.search.aggregations.bucket.nested.ParsedNested",8,2,0,2,0,2,4,2,2,0
"org.elasticsearch.action.support.master.AcknowledgedRequest",32,8,0,0,0,10,7,2,8,0
"org.elasticsearch.action.admin.cluster.node.reload.NodesReloadSecureSettingsResponse",71,8,3,0,0,30,15,4,6,0
"org.elasticsearch.action.admin.cluster.node.stats.NodesStatsRequestBuilder",84,22,2,0,0,39,22,1,20,0
"org.elasticsearch.search.aggregations.bucket.sampler.BestDocsDeferringCollector",191,19,9,2,0,88,26,5,12,1
"org.elasticsearch.search.sort.SortBuilder",191,50,50,0,0,149,58,5,12,0
"org.elasticsearch.search.aggregations.metrics.AbstractLinearCounting",39,10,2,1,0,5,11,5,8,0
"org.elasticsearch.action.main.MainRequest",9,3,0,3,0,0,1,2,3,0
"org.elasticsearch.index.seqno.SequenceNumbers",57,14,14,0,0,173,9,1,3,0
"org.elasticsearch.transport.TransportResponseHandler",12,3,0,0,0,4,3,3,3,0
"org.elasticsearch.common.xcontent.StatusToXContentObject",3,1,0,1,0,0,1,1,1,0
"org.elasticsearch.transport.NetworkMessage",48,13,4,0,1,19,9,1,9,0
"org.elasticsearch.health.metadata.HealthMetadataService",180,19,13,0,0,120,28,2,8,9
"org.elasticsearch.index.bulk.stats.ShardBulkStats",28,2,0,0,0,22,4,1,2,0
"org.elasticsearch.search.aggregations.pipeline.MinBucketPipelineAggregator",30,6,2,3,0,11,11,2,4,0
"org.elasticsearch.action.admin.indices.template.get.GetIndexTemplatesResponse",38,14,8,3,0,19,15,1,7,0
"org.elasticsearch.rest.action.admin.indices.RestGetSettingsAction",27,3,0,1,0,30,24,3,3,1
"org.elasticsearch.search.aggregations.pipeline.SimpleValue",0,0,0,0,0,0,0,0,0,0
"org.elasticsearch.ElasticsearchCorruptionException",8,2,0,1,1,0,0,1,2,0
"org.elasticsearch.upgrades.SystemIndexMigrationInfo",172,22,4,0,0,95,56,1,18,7
"org.elasticsearch.index.cache.query.TrivialQueryCachingPolicy",12,3,0,0,0,3,2,2,3,0
"org.elasticsearch.search.runtime.LongScriptFieldTermQuery",39,10,5,1,0,9,8,1,6,0
"org.elasticsearch.cluster.routing.allocation.decider.NodeVersionAllocationDecider",99,20,19,1,0,68,17,1,5,0
"org.elasticsearch.rest.action.admin.indices.RestRolloverIndexAction",34,6,3,1,0,33,27,3,4,2
"org.elasticsearch.index.mapper.GeoPointFieldMapper",361,18,11,0,0,244,44,2,8,17
"org.elasticsearch.common.component.LifecycleComponent",6,4,0,1,3,0,4,4,4,0
"org.elasticsearch.persistent.PersistentTasksExecutorRegistry",17,4,2,0,0,6,2,1,2,0
"org.elasticsearch.common.inject.internal.AbstractBindingBuilder",49,10,3,0,0,21,13,1,7,0
"org.elasticsearch.index.analysis.ShingleTokenFilterFactory",131,10,7,1,0,48,8,1,4,0
"org.elasticsearch.bootstrap.BootstrapChecks",479,30,26,0,0,233,52,3,7,4
"org.elasticsearch.search.aggregations.bucket.geogrid.ParsedGeoGridBucket",6,1,0,0,2,4,3,3,1,0
"org.elasticsearch.http.CorsHandler",315,58,44,0,0,159,60,1,21,1
"org.elasticsearch.index.seqno.RetentionLeaseInvalidRetainingSeqNoException",25,2,0,1,0,1,0,1,2,0
"org.elasticsearch.plugins.ClusterPlugin",22,6,0,0,0,4,8,3,6,0
"org.elasticsearch.action.admin.indices.diskusage.AnalyzeIndexDiskUsageResponse",32,6,1,5,0,17,14,1,5,1
"org.elasticsearch.search.aggregations.metrics.Stats",11,9,0,0,2,1,9,9,9,0
"org.elasticsearch.common.util.concurrent.ThreadContext",589,89,64,0,0,342,75,3,42,11
"org.elasticsearch.cluster.routing.ShardIterator",4,2,0,1,0,0,2,2,2,0
"org.elasticsearch.index.seqno.RetentionLeaseAlreadyExistsException",8,2,0,2,0,1,0,1,2,0
"org.elasticsearch.common.util.set.Sets",94,25,5,0,0,144,38,5,20,3
"org.elasticsearch.index.fielddata.SortableLongBitsNumericDocValues",20,5,0,2,0,5,6,1,5,0
