"DeclarableId","ULOC","CC","COCO","PC","LLOC"
"org.springframework.core.metrics.StartupStep://getName$[47:1,47:17]",1,1,0,0,0
"org.springframework.core.metrics.StartupStep://getId$[52:1,52:13]",1,1,0,0,0
"org.springframework.core.metrics.StartupStep://getParentId$[60:1,60:19]",1,1,0,0,0
"org.springframework.core.metrics.StartupStep://tag$[67:1,67:42]",1,1,0,2,0
"org.springframework.core.metrics.StartupStep://tag$[74:1,74:52]",1,1,0,2,0
"org.springframework.core.metrics.StartupStep://getTags$[79:1,79:15]",1,1,0,0,0
"org.springframework.core.metrics.StartupStep://end$[85:1,85:11]",1,1,0,0,0
"org.springframework.cglib.proxy.MixinEverythingEmitter://MixinEverythingEmitter.constructor$[37:11,39:4]",3,1,0,3,0
"org.springframework.cglib.proxy.MixinEverythingEmitter://getInterfaces$[42:14,48:4]",7,2,1,1,0
"org.springframework.cglib.proxy.MixinEverythingEmitter://getMethods$[51:11,55:4]",5,1,0,1,0
"org.springframework.core.BridgeMethodResolver://BridgeMethodResolver.constructor$[55:9,56:1]",2,1,0,0,0
"org.springframework.core.BridgeMethodResolver://findBridgedMethod$[68:15,92:1]",22,6,9,1,2
"org.springframework.core.BridgeMethodResolver://isBridgedCandidateFor$[100:16,104:1]",5,3,1,2,0
"org.springframework.core.BridgeMethodResolver://searchCandidates$[113:16,130:1]",17,7,7,2,0
"org.springframework.core.BridgeMethodResolver://isBridgeMethodFor$[136:8,142:1]",7,3,2,3,0
"org.springframework.core.BridgeMethodResolver://isResolvedTypeMatch$[150:16,171:1]",20,6,9,3,0
"org.springframework.core.BridgeMethodResolver://findGenericDeclaration$[179:16,192:1]",12,5,5,1,0
"org.springframework.core.BridgeMethodResolver://searchInterfaces$[195:16,209:1]",14,6,8,2,0
"org.springframework.core.BridgeMethodResolver://searchForMatch$[217:16,224:1]",8,2,1,2,0
"org.springframework.core.BridgeMethodResolver://isVisibilityBridgeMethodPair$[233:15,240:1]",8,4,2,2,0
"org.springframework.core.io.WritableResource://isWritable$[44:1,46:1]",3,1,0,0,0
"org.springframework.core.io.WritableResource://getOutputStream$[54:1,54:50]",1,1,0,0,0
"org.springframework.core.io.WritableResource://writableChannel$[67:1,69:1]",3,1,0,0,0
"org.springframework.cglib.beans.BeanMapEmitter://BeanMapEmitter.constructor$[57:11,89:4]",29,7,9,4,0
"org.springframework.cglib.beans.BeanMapEmitter://makePropertyMap$[91:12,97:4]",7,2,1,1,0
"org.springframework.cglib.beans.BeanMapEmitter://getNames$[99:12,101:4]",3,1,0,1,0
"org.springframework.cglib.beans.BeanMapEmitter://generateConstructor$[103:12,110:4]",8,1,0,0,0
"org.springframework.cglib.beans.BeanMapEmitter://generateGet$[112:12,134:4]",10,1,0,2,0
"org.springframework.cglib.beans.BeanMapEmitter://generatePut$[136:12,169:4]",12,3,2,2,0
"org.springframework.cglib.beans.BeanMapEmitter://generateKeySet$[171:12,190:4]",16,1,0,1,0
"org.springframework.cglib.beans.BeanMapEmitter://generateGetPropertyType$[192:12,209:4]",7,1,0,2,0
"org.springframework.core.annotation.MergedAnnotationPredicates://MergedAnnotationPredicates.constructor$[39:9,40:1]",2,1,0,0,0
"org.springframework.core.annotation.MergedAnnotationPredicates://typeIn$[51:38,53:1]",3,1,0,1,1
"org.springframework.core.annotation.MergedAnnotationPredicates://typeIn$[63:38,65:1]",3,1,0,1,1
