"DeclarableId","MLOC","WMC","CWMC","DIT","NOC","CBO","RFC","LCOM","NOU","LC"
"org.springframework.util.concurrent.ListenableFutureCallback",0,0,0,0,0,0,0,0,0,0
"org.springframework.util.concurrent.DelegatingCompletableFuture",12,2,0,0,0,5,1,1,2,0
"org.springframework.aot.hint.JdkProxyHint",66,11,4,0,0,38,9,1,7,1
"org.springframework.cglib.util.ParallelSorter",161,22,8,1,0,71,20,1,14,0
"org.springframework.core.io.buffer.CloseableDataBuffer",3,1,0,1,0,0,1,1,1,0
"org.springframework.cglib.transform.AbstractClassLoader",64,14,8,0,1,22,20,1,7,0
"org.springframework.cglib.core.Local",14,3,0,0,0,2,2,1,3,0
"org.springframework.core.convert.support.CharacterToNumberFactory",14,1,0,0,0,4,2,1,1,0
"org.springframework.core.annotation.RepeatableContainers",140,12,4,0,0,100,11,1,8,1
"org.springframework.aot.hint.support.ClassHintUtils",20,4,4,0,0,14,8,1,1,2
"org.springframework.asm.Symbol",50,3,1,0,0,49,1,1,2,0
"org.springframework.core.io.support.PropertySourceDescriptor",7,2,0,0,0,1,0,1,2,0
"org.springframework.cglib.transform.ClassVisitorTee",76,15,4,1,0,29,13,1,11,0
"org.springframework.core.convert.support.StringToArrayConverter",29,6,2,0,0,18,13,2,4,0
"org.springframework.core.env.EnumerablePropertySource",12,4,0,0,0,1,3,2,4,0
"org.springframework.core.KotlinDetector",36,9,5,0,0,25,9,2,5,0
"org.springframework.util.xml.XMLEventStreamReader",173,61,35,1,0,106,47,4,28,0
"org.springframework.core.io.ByteArrayResource",34,12,3,1,0,13,8,2,9,0
"org.springframework.cglib.proxy.CallbackFilter",4,2,0,0,0,0,2,2,2,0
"org.springframework.util.UpdateMessageDigestInputStream",16,5,3,1,0,4,3,2,2,0
"org.springframework.util.PatternMatchUtils",45,16,22,0,0,20,8,2,2,0
"org.springframework.util.comparator.InstanceComparator",22,6,6,0,0,9,3,1,3,0
"org.springframework.core.style.DefaultValueStyler",89,29,18,0,1,26,25,3,11,0
"org.springframework.core.env.EnvironmentCapable",3,1,0,0,0,0,1,1,1,0
"org.springframework.cglib.proxy.DispatcherGenerator",39,7,7,0,0,26,18,2,3,0
"org.springframework.cglib.reflect.MethodDelegate",130,8,1,0,0,94,11,2,6,0
"org.springframework.util.CompositeIterator",32,9,7,0,0,17,9,2,4,0
"org.springframework.core.annotation.IntrospectionFailureLogger",21,6,2,0,0,11,4,3,4,0
"org.springframework.core.DecoratingClassLoader",31,9,4,0,1,15,7,3,6,0
"org.springframework.core.SmartClassLoader",11,3,0,0,0,1,4,3,3,0
"org.springframework.core.convert.support.GenericConversionService",398,48,29,0,1,210,46,1,20,1
"org.springframework.util.function.ThrowingBiFunction",34,8,2,0,0,5,6,1,6,0
"org.springframework.asm.Label",188,47,50,0,0,115,19,2,12,0
"org.springframework.aot.hint.TypeHint",119,10,0,0,0,86,16,1,10,3
"org.springframework.core.io.DefaultResourceLoader",66,18,11,0,2,31,22,2,10,0
"org.springframework.asm.ClassTooLargeException",16,3,0,0,0,2,2,1,3,0
"org.springframework.aot.nativex.BasicJsonWriter",159,36,23,0,0,93,26,2,11,3
"org.springframework.core.type.StandardAnnotationMetadata",79,22,16,1,0,38,22,1,11,2
"org.springframework.core.convert.ConversionService",6,4,0,0,1,0,2,2,4,0
"org.springframework.core.convert.support.ConvertingPropertyEditorAdapter",22,5,2,1,0,13,5,1,3,0
"org.springframework.asm.AnnotationWriter",279,65,66,1,0,216,31,1,14,0
"org.springframework.cglib.core.RejectModifierPredicate",9,2,0,0,0,1,2,1,2,0
"org.springframework.core.io.buffer.DataBufferFactory",8,6,0,0,0,0,4,4,6,0
"org.springframework.core.task.TaskTimeoutException",8,2,0,2,0,0,0,1,2,0
"org.springframework.cglib.proxy.MixinEmitter",58,8,14,3,2,46,2,2,3,0
"org.springframework.util.comparator.Comparators",17,5,0,0,0,6,4,2,5,0
"org.springframework.core.annotation.SynthesizingMethodParameter",38,13,3,1,0,7,12,2,10,0
"org.springframework.cglib.reflect.FastClassEmitter",164,11,5,3,0,127,41,1,6,2
"org.springframework.cglib.core.Converter",3,1,0,0,0,2,1,1,1,0
"org.springframework.cglib.transform.impl.AccessFieldTransformer",35,3,1,4,0,21,12,1,2,0
"org.springframework.util.InvalidMimeTypeException",10,2,0,0,0,2,1,1,2,0
"org.springframework.aot.hint.annotation.ReflectiveRuntimeHintsRegistrar",70,13,9,0,0,43,35,1,6,8
"org.springframework.util.CommonsLogWriter",26,9,4,1,0,12,8,4,5,0
"org.springframework.util.concurrent.CompletableToListenableFutureAdapter",42,12,3,0,0,26,8,1,10,1
